,date,secid,open,close,low,high,volume,currency,capitalization
908,2012-12-04,MOEXBC,9703.57,9641.22,9622.11,9703.57,1602808160.26,RUB,3926276065670.17
909,2012-12-05,MOEXBC,9641.22,9808.46,9640,9834.31,1866821699.43,RUB,3994384026899.64
910,2012-12-06,MOEXBC,9808.46,9819.61,9790.07,9877.76,1779011531.9049,RUB,3998925804905.71
911,2012-12-07,MOEXBC,9819.61,9849.46,9737.54,9851.76,2160748857.89,RUB,4011079776969.16
912,2012-12-10,MOEXBC,9849.46,9872.07,9831.84,9920.35,3884751277.6989,RUB,4020289220420.2
913,2012-12-11,MOEXBC,9872.07,9889.96,9836.32,9892.86,2135470915.4097,RUB,4027574981131.37
914,2012-12-12,MOEXBC,9889.96,10004.75,9884.03,10017.39,2509999001.5249,RUB,4074318776744.36
915,2012-12-13,MOEXBC,10004.75,9963.54,9914.99,10033.99,2249581656.3984,RUB,4057538851822.3
916,2012-12-14,MOEXBC,9963.54,9983.53,9929.86,10010.94,2586856792.2664,RUB,4065677758870.13
917,2012-12-17,MOEXBC,9983.53,10053.42,9974.14,10053.42,2504732740.1465,RUB,4094141016789.91
918,2012-12-18,MOEXBC,10053.42,10108.54,10031.85,10158.2,2045997512.4,RUB,3822235718567.28
919,2012-12-19,MOEXBC,10108.54,10125.93,10095.69,10167.58,1478191941.43,RUB,3828809727162.74
920,2012-12-20,MOEXBC,10125.93,10181.86,10060.28,10196.24,1885543240.23,RUB,3849958208391.67
921,2012-12-21,MOEXBC,10181.86,10144.23,10099.92,10210.27,3357891641.7564,RUB,3835728111727.31
922,2012-12-24,MOEXBC,10144.23,10087.58,10085.73,10164.2,2120143192.44,RUB,3814307278321.81
923,2012-12-25,MOEXBC,10087.58,10121.21,10074.57,10126.9,1556030169.5058,RUB,3827025820955.16
924,2012-12-26,MOEXBC,10121.21,10118.36,10076.18,10143.4,1538974143.9289,RUB,3825947917705.42
925,2012-12-27,MOEXBC,10118.36,10108.74,10093.17,10125.26,1478845008.0028,RUB,3822311277537.29
926,2012-12-28,MOEXBC,10108.74,10102.06,10062.51,10113.14,1447103431.9873,RUB,3819782936880.06
927,2013-01-08,MOEXBC,10102.06,10344.26,10100.87,10366.59,1653243611.35,RUB,3911362991967.06
928,2013-01-09,MOEXBC,10344.26,10370.85,10316.16,10372.79,1610616529.36,RUB,3921416623708.8
929,2013-01-10,MOEXBC,10370.85,10305.81,10305.36,10390.44,1691870166.5021,RUB,3896823928476.99
930,2013-01-11,MOEXBC,10305.81,10359.18,10278.54,10367.54,1177752502.025,RUB,3917004159191.51
931,2013-01-14,MOEXBC,10359.18,10452.05,10346.85,10469.23,1319476319.86,RUB,3952123603175.03
932,2013-01-15,MOEXBC,10452.05,10362.86,10353.78,10452.05,1202217310.66,RUB,3918396709952.36
933,2013-01-16,MOEXBC,10362.86,10322.84,10284.23,10426.98,1626772855.18,RUB,3903265192941.08
934,2013-01-17,MOEXBC,10322.84,10360.61,10320.15,10378.91,1708879469.33,RUB,3917545287948.36
935,2013-01-18,MOEXBC,10360.61,10473.05,10357.38,10475.82,1612316563.87,RUB,3960062201594.31
936,2013-01-21,MOEXBC,10473.05,10455.96,10422.43,10477.96,1309461118.3596,RUB,3953598819993.2
937,2013-01-22,MOEXBC,10455.96,10373.59,10332.54,10475.63,1950085765.55,RUB,3922456125526.59
938,2013-01-23,MOEXBC,10373.59,10433.29,10368.2,10441.5,1685342460.81,RUB,3945030094814.89
939,2013-01-24,MOEXBC,10433.29,10419.28,10321.32,10433.29,1960499161.01,RUB,3939731990664.58
940,2013-01-25,MOEXBC,10419.28,10496.04,10374.91,10501,1381528615.91,RUB,3968756530147.52
941,2013-01-28,MOEXBC,10496.04,10612.07,10494.52,10620.35,2086379133.17,RUB,4012628930849.02
942,2013-01-29,MOEXBC,10612.07,10553.75,10553.75,10640.1,1719439421.93,RUB,3990578117801.38
943,2013-01-30,MOEXBC,10553.75,10529.05,10507.66,10632.42,2308158678.31,RUB,3981237871887.44
944,2013-01-31,MOEXBC,10529.05,10602.53,10522.89,10606.38,3337256315.834,RUB,4009022123376.07
945,2013-02-01,MOEXBC,10602.53,10530.3,10505.23,10636.09,2494817932.11,RUB,3981708031435.26
946,2013-02-04,MOEXBC,10530.3,10446.46,10431.87,10564.22,1551759242.98,RUB,3950007840133.42
947,2013-02-05,MOEXBC,10446.46,10456.86,10396.68,10459.35,1582445501.1242,RUB,3953941066664.34
948,2013-02-06,MOEXBC,10456.86,10395.09,10386.71,10560.06,2691058891.14,RUB,3930585036464.88
949,2013-02-07,MOEXBC,10395.09,10364.18,10337.62,10417.13,1627454729.63,RUB,3918897022732.45
950,2013-02-08,MOEXBC,10364.18,10335.71,10265.89,10374.99,1988168762.14,RUB,3908132053646.63
951,2013-02-11,MOEXBC,10335.71,10283.5,10277.76,10361.93,1234808339.81,RUB,3888391104072.05
952,2013-02-12,MOEXBC,10283.5,10252.73,10221.13,10310.2,1679779538.5,RUB,3876754980264.14
953,2013-02-13,MOEXBC,10252.73,10410.85,10252.73,10423.99,2091771943.65,RUB,3936542315572.75
954,2013-02-14,MOEXBC,10410.85,10287.69,10277.73,10490.31,2127251691.95,RUB,3889974053797.28
955,2013-02-15,MOEXBC,10287.69,10204.82,10172.65,10306.38,1894257543.58,RUB,3858639466985.47
956,2013-02-18,MOEXBC,10204.82,10216.69,10139.93,10227.92,1081567221.68,RUB,3863128715335.63
957,2013-02-19,MOEXBC,10216.69,10319.96,10213.61,10321.09,1232137279,RUB,3902177707654.31
958,2013-02-20,MOEXBC,10319.96,10280.15,10263.28,10337.31,1001029438.02,RUB,3887123478610.52
959,2013-02-21,MOEXBC,10280.15,10174.42,10127.73,10280.15,1439647249.22,RUB,3847145826081.62
960,2013-02-22,MOEXBC,10174.42,10167.44,10142.36,10213.02,1694192379.99,RUB,3844505643042.22
961,2013-02-25,MOEXBC,10167.44,10219.26,10150.37,10233.69,1304840284.53,RUB,3864099603041.69
962,2013-02-26,MOEXBC,10219.26,10098.26,10085.62,10236.01,1424184200.61,RUB,3818345819728.5
963,2013-02-27,MOEXBC,10098.26,10101.1,10064.55,10141.03,838152566.41,RUB,3819419801076.86
964,2013-02-28,MOEXBC,10101.1,10118.12,10077.31,10153.05,1015767702.14,RUB,3825857996103.12
965,2013-03-01,MOEXBC,10118.12,10014.67,9977.13,10132.87,1529755199.0048,RUB,3786739955609.57
966,2013-03-04,MOEXBC,10014.67,9949.7,9937.52,10056.18,1074041221.4,RUB,3762174370322.51
967,2013-03-05,MOEXBC,9949.7,10079.89,9934.36,10091.24,1548716758.581,RUB,3811400560148.61
968,2013-03-06,MOEXBC,10079.89,10124.09,10079.89,10156.59,1292530988.13,RUB,3828113532500.47
969,2013-03-07,MOEXBC,10124.09,10111.51,10099.36,10161.48,909397248.08,RUB,3823355860728.75
970,2013-03-11,MOEXBC,10111.51,10206.21,10107.41,10266.81,1093915510.35,RUB,3859165707306.79
971,2013-03-12,MOEXBC,10206.21,10188.01,10149.68,10223.51,1125104261.45,RUB,3852281556174.25
972,2013-03-13,MOEXBC,10188.01,10154.16,10140.82,10249.04,1202609078.62,RUB,3839483983770.19
973,2013-03-14,MOEXBC,10154.16,10163.77,10116.18,10193.03,1412214741.07,RUB,3843118552605.69
974,2013-03-15,MOEXBC,10163.77,10103.57,10097.11,10255.05,1399503716.1,RUB,3820354483991.06
975,2013-03-18,MOEXBC,10103.57,9912.91,9839.02,10133.98,2199398243.83,RUB,3755694715187.46
976,2013-03-19,MOEXBC,9912.91,9819.96,9812.81,9963.62,1498766697.19,RUB,3720478005203.02
977,2013-03-20,MOEXBC,9819.96,9880.78,9750.96,9899.61,1824859215.136,RUB,3743520093733.82
