,date,open,high,low,close,volume,capitalization,currency,secid
1769,2002-10-28,3.232,3.232,3.232,3.232,0.0,0.0,USD,STOOQ:rubeur
1770,2002-10-29,3.2016,3.2016,3.2016,3.2016,0.0,0.0,USD,STOOQ:rubeur
1771,2002-10-30,3.2031,3.2031,3.2031,3.2031,0.0,0.0,USD,STOOQ:rubeur
1772,2002-10-31,3.1875,3.1875,3.1875,3.1875,0.0,0.0,USD,STOOQ:rubeur
1773,2002-11-04,3.159,3.159,3.159,3.159,0.0,0.0,USD,STOOQ:rubeur
1774,2002-11-05,3.1376,3.1376,3.1376,3.1376,0.0,0.0,USD,STOOQ:rubeur
1775,2002-11-06,3.1549,3.1549,3.1549,3.1549,0.0,0.0,USD,STOOQ:rubeur
1776,2002-11-07,3.1382,3.1382,3.1382,3.1382,0.0,0.0,USD,STOOQ:rubeur
1777,2002-11-08,3.11,3.11,3.11,3.11,0.0,0.0,USD,STOOQ:rubeur
1778,2002-11-12,3.106,3.106,3.106,3.106,0.0,0.0,USD,STOOQ:rubeur
1779,2002-11-13,3.112,3.112,3.112,3.112,0.0,0.0,USD,STOOQ:rubeur
1780,2002-11-14,3.1201,3.1201,3.1201,3.1201,0.0,0.0,USD,STOOQ:rubeur
1781,2002-11-15,3.127,3.127,3.127,3.127,0.0,0.0,USD,STOOQ:rubeur
1782,2002-11-18,3.1121,3.1121,3.1121,3.1121,0.0,0.0,USD,STOOQ:rubeur
1783,2002-11-19,3.1028,3.1028,3.1028,3.1028,0.0,0.0,USD,STOOQ:rubeur
1784,2002-11-20,3.134,3.134,3.134,3.134,0.0,0.0,USD,STOOQ:rubeur
1785,2002-11-21,3.1351,3.1351,3.1351,3.1351,0.0,0.0,USD,STOOQ:rubeur
1786,2002-11-22,3.1306,3.1306,3.1306,3.1306,0.0,0.0,USD,STOOQ:rubeur
1787,2002-11-25,3.155,3.155,3.155,3.155,0.0,0.0,USD,STOOQ:rubeur
