,date,secid,open,close,low,high,volume,currency,capitalization
1466,2001-07-13,RTSI,199.03,200.63,198.69,200.63,17118184,USD,45319452609.2213
1467,2001-07-16,RTSI,201.01,202.06,200.51,202.35,12659881,USD,45641659572.3407
1468,2001-07-17,RTSI,201.87,198.97,198.97,202.7,12118925,USD,44942888173.4741
1469,2001-07-18,RTSI,199.23,195.43,195.43,199.23,14320928,USD,44144636489.7715
1470,2001-07-19,RTSI,194.18,196.31,192.49,196.31,27397072,USD,44342086677.2516
1471,2001-07-20,RTSI,197.05,196.2,195.58,197.58,6791370,USD,44318105033.8166
1472,2001-07-23,RTSI,196.62,197.98,196.62,198.43,15873485,USD,44720722218.0555
1473,2001-07-24,RTSI,197.39,195.04,194.94,197.43,7895305,USD,44055885466.6637
1474,2001-07-25,RTSI,196.69,198.35,196.69,198.35,10728948,USD,44804026253.6215
1475,2001-07-26,RTSI,200.85,203.82,200.85,203.82,19499581,USD,46039657911.913
1476,2001-07-27,RTSI,206.01,201.05,201.05,206.04,20029155,USD,45414288735.2666
1477,2001-07-30,RTSI,201.1,199.82,199.57,201.1,4407781,USD,45135202788.6872
1478,2001-07-31,RTSI,199.16,196.12,196.12,199.16,18579531,USD,44300732949.5518
1479,2001-08-01,RTSI,196.59,195.08,194.17,196.6,11670772,USD,44065606380.2965
1480,2001-08-02,RTSI,195.28,196.39,195.12,196.39,11488823,USD,44361544960.5472
1481,2001-08-03,RTSI,196.51,195.61,195.61,197,6932531,USD,44184405800.8707
1482,2001-08-06,RTSI,194.76,192.69,192.24,194.76,7974300,USD,43524475542.212
1483,2001-08-07,RTSI,191.3,189.38,187.74,191.3,14097740,USD,42778338902.0028
1484,2001-08-08,RTSI,189.92,190.34,189.29,190.34,24381194,USD,42994153836.6199
1485,2001-08-09,RTSI,189.18,191.56,188.79,191.56,7346653,USD,43269217656.6259
1486,2001-08-10,RTSI,192.4,194.21,192.4,194.81,6712978,USD,43867776171.7639
1487,2001-08-13,RTSI,193.09,193.54,192.82,193.84,2929279,USD,43729222004.0965
1488,2001-08-14,RTSI,195.45,196.35,195.45,196.35,8497025,USD,44364819117.3172
1489,2001-08-15,RTSI,195.36,193.99,193.94,195.36,6788945,USD,43830815973.5399
1490,2001-08-16,RTSI,192.79,192.68,192.6,193.12,6443555,USD,43536392847.761
1491,2001-08-17,RTSI,193.58,192.01,192.01,194.95,6266083,USD,43384124596.2302
1492,2001-08-20,RTSI,191.04,193.26,191.04,193.26,3130216,USD,43666437474.8202
1493,2001-08-21,RTSI,194.96,193.73,193.73,195.29,4794938,USD,43772398985.3435
1494,2001-08-22,RTSI,194.35,199.94,194.35,199.94,20450864,USD,45176427048.0271
1495,2001-08-23,RTSI,200.7,201.25,199.43,201.25,6328780,USD,45472552996.2796
1496,2001-08-24,RTSI,203.06,205.54,202.97,205.87,16218212,USD,46441888812.6838
1497,2001-08-27,RTSI,208.73,210.11,208.73,212.55,16987577,USD,47472834231.9862
1498,2001-08-28,RTSI,211.18,211.59,210.2,211.59,11962626,USD,47807757194.2681
1499,2001-08-29,RTSI,209.38,207.54,206.59,209.38,11327951,USD,46892967835.9055
1500,2001-08-30,RTSI,204.85,202.86,202.86,205.31,5307912,USD,45836234472.2494
1501,2001-08-31,RTSI,200.99,205.41,200.99,205.41,6343605,USD,46412391804.9843
1502,2001-09-03,RTSI,207.43,209.57,207.43,209.57,8307611,USD,47351878850.556
1503,2001-09-04,RTSI,212.48,210.79,210.79,212.48,10311246,USD,47627450555.254
1504,2001-09-05,RTSI,210.65,209.79,209.06,210.65,9259600,USD,47401272104.1918
